Sexo,Edad,Colegio,Ciudad/Cantón,Tiempo libre,Uso de equipos para ver contenido audiovisual,Importancia propia,Compras,Importancia de relaciones sociales,Cratividad ,Vida diaria en redes sociales,R Social mas usada,Por qué la preferencai ,Dispositivo E usado,Info (de que manera buscas),Marca o nombre que se te venga a la cabeza (Video),Marca o nombre que se te venga a la cabeza (musica),Marca o nombre que se te venga a la cabeza (informarte),Marca o nombre que se te venga a la cabeza (entretenimiento),Edad (1 dispositivo electronico),Palabra trabajo ,Al terminar el colegio ,Tener primer trabajo ,Prefeririras ser ,Permanencia en primer trabajo,Aspiraciones salariales,Incentivo de producto (Exclusivo),Incentivo de producto (Reciclado),Incentivo de producto (Aporte al medio ambiente),Incentivo de producto (personalizado),Incentivo de producto (Económico),Pensamiento (A-D),Vinculas éxito personal,Cuanto gastas en un antojo ,Mencion en tus redes sociales ,Puedes llegar a un publico especifico en una red social ,Acpertar difundir contenido en una RS,Demostracion de un producto en publico ,"Informacion de los influencers, piensas:","Toma de decisión, consideras a los influencers ",Que contenido prefieres ver en influencers ,Influencers nacionales,Influencers Nacionales ,Influencers internacionales ,Influencers Internacionales ,Cómo te ves en 10 años ,Estas de acuerdo con: Aborto ,Matrimonio igualitario,Eutanasia,La pena de muerte ,Donación de órganos ,El matrimonio para toda la vida ,La enseñanza religiosa en las escuelas 
Masculino,14,TEODORO WOLF,Otros,internet,Celular,Habilidades,Acuerdo,Acuerdo,7,Necesarias,,Distracción,Celular ,Buscador,Youtube ,,Google,,6,Dinero,Solo estudiar ,de 1 a 2 años despues de haberme graduado,Un empleado en una empresa familiar,De 6 meses a un año ,De $386 a $450,4,3,5,1,2,Es importante pero hay que pensar también en el presente,Al factor económico ,$20.01 - $30,Probablemente si ,Si ,Tal vez por algo extra (Dinero),"Si, solo por el producto ",Poco creíble,Importante ,Comida ,Ariel Nahuelpán,Damian Diaz,Leonel Messi,Neymar,Ninguna,Imparcial,De acuerdo,De acuerdo,No estoy de acuerdo ,Muy de acuerdo ,Poco de acuerdo ,Muy de acuerdo 
Masculino,14,TEODORO WOLF,Otros,internet,Celular,Salud mental,Acuerdo,Acuerdo,10,Necesarias,Facebook,Distracción,Celular ,Bibliotecas virtuales / repositorios,Youtube ,Play music,,,11,Desarrollo de conocimiento ,Solo estudiar ,Apenas esté graduado/a del colegio,Un empleado en empresa multinacional ,De 6 meses a un año ,Menos que el salario básico unificado ,4,2,1,5,3,Es importante pero hay que pensar también en el presente,A logros académicos ,$1 - $5,Probablemente si ,Si ,No estaría dispuesto,"Si, solo por el producto ",Poco creíble,Muy importante ,Deporte,Maximo Escalera ,Enner Valencia,Gerald Piqué,Neymar,Trabajando para ser un buen profesional ,No estoy de acuerdo ,Poco de acuerdo ,No estoy de acuerdo ,Poco de acuerdo ,De acuerdo,Imparcial,De acuerdo
Masculino,14,TEODORO WOLF,Otros,internet,Tablet,Actitud,Acuerdo,Acuerdo,10,Muy necesarias ,Instagram ,Distracción,Celular ,Redes Sociales,Youtube ,Spotify,Facebook,Netflix ,12,Desarrollo de conocimiento ,Ambas,de 1 a 2 años despues de haberme graduado,Un empleado en empresa multinacional ,De año y medio a 2 años ,El total del salario basico ,1,5,2,,,Es muy importante ahorrar,A logros personales ,$1 - $5,Probablemente si ,Si ,Puede ser a cambio de un producto ,"Si, solo por el producto ",Lo tomas en consideración ,Muy importante ,Deporte,Richard Carapaz,Alexandra Escobar,Peter Sangan,Leonel Messi,Viajando por el mundo ,No estoy de acuerdo ,De acuerdo,No estoy de acuerdo ,Imparcial,Muy de acuerdo ,Muy de acuerdo ,Muy de acuerdo 
Femenino,14,TEODORO WOLF,Otros,Cine,Televisón,Estado físico,Total acuerdo,Total acuerdo,9,Necesarias,Instagram ,Distracción,Celular ,Buscador,Youtube ,Youtube ,Google,Netflix ,11,Dinero,Solo estudiar ,Apenas esté graduado/a del colegio,Un emprendedor ,De 6 meses a un año ,El total del salario basico ,1,4,3,2,5,No es importante porque hay que hacer compras necesarias en el presente,A logros personales ,$20.01 - $30,Probablemente si ,Si ,Tal vez por algo extra (Dinero),Por el producto y mostrar la imagen personal,Poco creíble,Importante ,Viajes,Maykel,Maximo Escalera ,Sebastian Yatra,Karol G,Trabajando para ser un buen profesional ,No estoy de acuerdo ,De acuerdo,No estoy de acuerdo ,No estoy de acuerdo ,De acuerdo,De acuerdo,Poco de acuerdo 
Masculino,15,TEODORO WOLF,Otros,Lectura,Celular,Salud mental,Total desacuerdo,Indiferente,7,Nada necesarias ,Facebook,Privacidad,Celular ,Redes Sociales,Youtube ,Youtube ,Google,,7,Aspiración,Ambas,Apenas esté graduado/a del colegio,Un empleado en una empresa local,De 6 meses a un año ,El total del salario basico ,2,3,4,5,1,Es muy importante ahorrar,A logros académicos ,$1 - $5,Probablemente si ,Si ,Puede ser a cambio de un producto ,"Si, solo por el producto ",Lo tomas en consideración ,Muy importante ,Deporte,Fernando Gaibor,Pedro Quiñonez,Cristiano Ronaldo ,Paulo Dybala,Trabajando para ser un buen profesional ,No estoy de acuerdo ,Poco de acuerdo ,No estoy de acuerdo ,Poco de acuerdo ,Muy de acuerdo ,Imparcial,No estoy de acuerdo 
Femenino,13,TEODORO WOLF,Otros,Ejercicios,Celular,Apariencia física,Total acuerdo,Total acuerdo,8,Necesarias,Snapchat,Popularidad,Celular ,Redes Sociales,Youtube ,Youtube ,Wikipedia,Youtube ,5,Dinero,Ambas,De 6 meses a un año de haberme graduado ,Un empleado en una empresa familiar,Menos de 6 meses ,Más de $550,1,2,1,1,4,Es muy importante ahorrar,A logros académicos ,$20.01 - $30,Probablemente si ,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Lo tomas en consideración ,Poco importante ,Deporte,Karin Barreiro,Jasu Montero,Bad Bunny,Manuel Turizo ,Viajando por el mundo ,No estoy de acuerdo ,No estoy de acuerdo ,Poco de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,Muy de acuerdo ,Muy de acuerdo 
Femenino,13,TEODORO WOLF,Otros,RR.SS.,Televisón,Actitud,Total acuerdo,Total acuerdo,10,Necesarias,Facebook,Privacidad,Laptop,Buscador,Youtube ,Youtube ,Facebook,Youtube ,11,Desarrollo de conocimiento ,Ambas,Apenas esté graduado/a del colegio,Un empleado en empresa multinacional ,De un año a año y medio ,El total del salario basico ,1,5,2,3,4,No es importante porque hay que hacer compras necesarias en el presente,A logros académicos ,$1 - $5,Seguro que sí,Si ,No estaría dispuesto,No lo haría,Es verdad,Muy importante ,Académico,Samantha Grey ,Gabriela Pazmiño,Karol G,Anuel ,Trabajando para ser un buen profesional ,Poco de acuerdo ,Muy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,De acuerdo,Poco de acuerdo ,De acuerdo
Femenino,13,TEODORO WOLF,Otros,Cine,Televisón,Estado físico,Total acuerdo,Total acuerdo,9,Necesarias,Instagram ,Popularidad,Laptop,Buscador,Youtube ,Youtube ,Google,Netflix ,11,Dinero,Solo estudiar ,Apenas esté graduado/a del colegio,Un emprendedor ,De 6 meses a un año ,El total del salario basico ,1,4,3,2,5,No es importante porque hay que hacer compras necesarias en el presente,A logros personales ,$20.01 - $30,Probablemente si ,Si ,Tal vez por algo extra (Dinero),Por el producto y mostrar la imagen personal,Poco creíble,Importante ,Viajes,Maykel,Maximo Escalera ,Sebastian Yatra,Paulo Londra,Trabajando para ser un buen profesional ,No estoy de acuerdo ,De acuerdo,No estoy de acuerdo ,No estoy de acuerdo ,De acuerdo,Muy de acuerdo ,Imparcial
Femenino,13,TEODORO WOLF,Otros,internet,Celular,Actitud,Total desacuerdo,Total acuerdo,10,Muy necesarias ,Instagram ,Facilidad de uso,Celular ,Redes Sociales,Youtube ,Play music,Google,Netflix ,12,Otra palabra,Solo estudiar ,Apenas esté graduado/a del colegio,Un empleado en empresa multinacional ,De un año a año y medio ,De $451 a $550,5,2,3,4,1,Es muy importante ahorrar,A logros académicos ,$1 - $5,Probablemente si ,Si ,No estaría dispuesto,No lo haría,Lo tomas en consideración ,Poco importante ,Tecnología,Alex Vizuete,Flor Maria Palomeque,Karol G,Nacho,Trabajando para ser un buen profesional ,No estoy de acuerdo ,De acuerdo,No estoy de acuerdo ,No estoy de acuerdo ,Muy de acuerdo ,Muy de acuerdo ,Muy de acuerdo 
Femenino,12,TEODORO WOLF,Otros,Otros,Celular,Actitud,Total desacuerdo,Total acuerdo,10,Poco necesarias,Instagram ,Popularidad,Celular ,Buscador,Netflix,Youtube ,Google,Youtube ,5,Otra palabra,Ambas,Apenas esté graduado/a del colegio,Un empleado en una empresa familiar,Más de 2 años,De $386 a $450,3,1,1,1,1,Es importante pero hay que pensar también en el presente,A logros personales ,$20.01 - $30,Seguro que sí,Si ,No estaría dispuesto,No lo haría,Lo tomas en consideración ,Muy importante ,Deporte,Maximo Escalera ,Gerardo Moran,Becky G,Natti Natasha,Trabajando para ser un buen profesional ,No estoy de acuerdo ,De acuerdo,No estoy de acuerdo ,No estoy de acuerdo ,De acuerdo,Muy de acuerdo ,Muy de acuerdo 
Masculino,14,TEODORO WOLF,Otros,Televisión,Televisón,Estado físico,Acuerdo,Acuerdo,6,Nada necesarias ,Facebook,Distracción,Celular ,Video,Youtube ,Youtube ,Facebook,Youtube ,10,Desarrollo de conocimiento ,Solo estudiar ,Apenas esté graduado/a del colegio,Un empleado en una empresa local,Menos de 6 meses ,Menos que el salario básico unificado ,1,2,3,5,4,Es muy importante ahorrar,A logros personales ,$5.01 - $10 ,Seguro que sí,Si ,Tal vez por algo extra (Dinero),Por el producto y mostrar la imagen personal,Poco creíble,Importante ,Deporte,,,Bad Bunny,Maluma,Ninguna,No estoy de acuerdo ,Imparcial,Imparcial,No estoy de acuerdo ,De acuerdo,Muy de acuerdo ,Muy de acuerdo 
Masculino,14,TEODORO WOLF,Otros,internet,Televisón,Conocimientos,Indiferente,Acuerdo,7,Poco necesarias,Facebook,Distracción,Celular ,Buscador,Youtube ,Youtube ,Google,Netflix ,8,Aspiración,Solo estudiar ,Apenas esté graduado/a del colegio,Un emprendedor ,De un año a año y medio ,Más de $550,3,5,4,2,1,Es importante pero hay que pensar también en el presente,Al factor económico ,$1 - $5,Probablemente no ,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Lo tomas en consideración ,Importante ,Viajes,Samantha Grey ,Efrain Ruales,Luisito Comunica,Anuel ,Trabajando para ser un buen profesional ,No estoy de acuerdo ,Imparcial,No estoy de acuerdo ,No estoy de acuerdo ,De acuerdo,Muy de acuerdo ,De acuerdo
Femenino,12,TEODORO WOLF,Otros,RR.SS.,Computadora,Estado físico,Indiferente,Total acuerdo,9,Necesarias,Facebook,Popularidad,Celular ,Buscador,Youtube ,Youtube ,Google,Facebook,8,Aspiración,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,De 6 meses a un año ,El total del salario basico ,5,2,3,4,1,Es importante pero hay que pensar también en el presente,A logros personales ,$1 - $5,Probablemente no ,Si ,Tal vez por algo extra (Dinero),Por el producto y mostrar la imagen personal,Lo tomas en consideración ,Muy importante ,Deporte,Maykel,Gerardo Moran,Sebastian Yatra,Nacho,Trabajando para ser un buen profesional ,No estoy de acuerdo ,De acuerdo,No estoy de acuerdo ,No estoy de acuerdo ,De acuerdo,De acuerdo,De acuerdo
Masculino,14,TEODORO WOLF,Otros,internet,Televisón,Salud mental,Indiferente,Total acuerdo,9,Poco necesarias,Facebook,Distracción,Celular ,Buscador,Youtube ,Youtube ,Google,Youtube ,7,Vocación ,Solo trabajar ,Apenas esté graduado/a del colegio,Un empleado en una empresa local,De año y medio a 2 años ,De $386 a $450,5,1,1,5,1,Es importante pero hay que pensar también en el presente,A logros personales ,$10.01 - $20,Seguro que sí,Si ,Puede ser a cambio de un producto ,Por el producto y mostrar la imagen personal,Lo tomas en consideración ,Poco importante ,Académico,Ronald Farina,,,,Trabajando para ser un buen profesional ,Muy deacuerdo ,Imparcial,No estoy de acuerdo ,Poco de acuerdo ,Muy de acuerdo ,Imparcial,Imparcial
Masculino,13,TEODORO WOLF,Otros,internet,Televisón,Conocimientos,Desacuerdo,Indiferente,8,Poco necesarias,Facebook,Distracción,PC/ computadora de escritorio ,Buscador,Youtube ,Spotify,Google,Youtube ,13,Vocación ,Ambas,Apenas esté graduado/a del colegio,Un empleado en una empresa familiar,De 6 meses a un año ,Más de $550,5,3,2,4,1,Es importante pero hay que pensar también en el presente,A logros académicos ,$10.01 - $20,Probablemente si ,No ,No estaría dispuesto,Por el producto y mostrar la imagen personal,Poco creíble,Importante ,Tecnología,Maximo Escalera ,Enner Valencia,Leonel Messi,Neymar,Trabajando para ser un buen profesional ,No estoy de acuerdo ,Imparcial,No estoy de acuerdo ,Poco de acuerdo ,De acuerdo,De acuerdo,Poco de acuerdo 
Masculino,14,TEODORO WOLF,Otros,Ejercicios,Celular,Estado físico,Total acuerdo,Total acuerdo,3,Muy necesarias ,Facebook,Distracción,Celular ,Redes Sociales,Youtube ,Youtube ,Facebook,Youtube ,9,Desarrollo de conocimiento ,Ambas,Apenas esté graduado/a del colegio,Un empleado en empresa multinacional ,Menos de 6 meses ,De $386 a $450,5,3,1,4,2,Es muy importante ahorrar,A logros personales ,$5.01 - $10 ,Seguro que sí,Si ,Tal vez por algo extra (Dinero),Por el producto y mostrar la imagen personal,Poco creíble,Muy importante ,Deporte,Alex Vizuete,Gabriela Pazmiño,Anuel ,Bad Bunny,Con una familia establecida,Muy de acuerdo ,Muy de acuerdo ,Poco de acuerdo ,Muy de acuerdo ,Poco de acuerdo ,Muy de acuerdo ,Muy de acuerdo 
Masculino,14,TEODORO WOLF,Otros,internet,Televisón,Habilidades,Desacuerdo,Total acuerdo,10,Poco necesarias,Facebook,Distracción,Celular ,Redes Sociales,Youtube ,Youtube ,Google,Youtube ,10,Aspiración,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,Más de 2 años,De $451 a $550,5,3,2,4,1,Es importante pero hay que pensar también en el presente,A logros académicos ,$20.01 - $30,Probablemente si ,Si ,No estaría dispuesto,"Si, solo por el producto ",Poco creíble,Muy importante ,Tecnología,Maximo Escalera ,Enner Valencia,Leonel Messi,Neymar,Trabajando para ser un buen profesional ,No estoy de acuerdo ,Imparcial,No estoy de acuerdo ,Imparcial,Imparcial,Imparcial,De acuerdo
Femenino,15,TEODORO WOLF,Otros,internet,Celular,Salud mental,Acuerdo,Total acuerdo,9,Muy necesarias ,Facebook,Distracción,Laptop,Buscador,Youtube ,Play music,Google,Netflix ,12,Vocación ,Ambas,de 1 a 2 años despues de haberme graduado,Un emprendedor ,De año y medio a 2 años ,Más de $550,5,2,3,4,1,Es importante pero hay que pensar también en el presente,A logros académicos ,$10.01 - $20,Probablemente si ,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Lo tomas en consideración ,Importante ,Viajes,Jasu Montero,Gabriela Pazmiño,Karol G,Karol G,Viajando por el mundo ,No estoy de acuerdo ,Muy de acuerdo ,No estoy de acuerdo ,Poco de acuerdo ,Imparcial,Poco de acuerdo ,Imparcial
Masculino,14,TEODORO WOLF,Otros,internet,Celular,Conocimientos,Total acuerdo,Indiferente,10,Nada necesarias ,Snapchat,Distracción,Celular ,Enciclopedias Virtuales,Youtube ,Youtube ,Google,Netflix ,10,Vocación ,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,De un año a año y medio ,Más de $550,5,4,3,1,2,Es muy importante ahorrar,A logros personales ,$20.01 - $30,Probablemente si ,Si ,Tal vez por algo extra (Dinero),Por el producto y mostrar la imagen personal,Lo tomas en consideración ,Importante ,Moda,Mirella Cesa,Flor Maria Palomeque,Natti Natasha,Luisito Comunica,Trabajando para ser un buen profesional ,No estoy de acuerdo ,De acuerdo,No estoy de acuerdo ,Poco de acuerdo ,Muy de acuerdo ,De acuerdo,Muy de acuerdo 
Femenino,13,TEODORO WOLF,Otros,RR.SS.,Celular,Estado físico,Desacuerdo,Total acuerdo,10,Necesarias,Instagram ,Popularidad,Celular ,Buscador,Youtube ,Youtube ,Google,Netflix ,9,Aspiración,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,De 6 meses a un año ,El total del salario basico ,5,2,3,4,1,Es importante pero hay que pensar también en el presente,Al reconocimiento social ,$1 - $5,Probablemente no ,Si ,Tal vez por algo extra (Dinero),Por el producto y mostrar la imagen personal,Lo tomas en consideración ,Muy importante ,Otra ,Efrain Ruales,Gabriela Pazmiño,Sebastian Yatra,Paulo Londra,Trabajando para ser un buen profesional ,No estoy de acuerdo ,De acuerdo,No estoy de acuerdo ,No estoy de acuerdo ,De acuerdo,De acuerdo,De acuerdo
Masculino,13,TEODORO WOLF,Otros,Ejercicios,Computadora,Estado físico,Desacuerdo,Acuerdo,1,Muy necesarias ,Snapchat,Distracción,Laptop,Buscador,Youtube ,Play music,Google,Facebook,11,Desarrollo de conocimiento ,Solo estudiar ,De 6 meses a un año de haberme graduado ,Un emprendedor ,Menos de 6 meses ,Más de $550,1,5,1,1,1,Es importante pero hay que pensar también en el presente,A logros personales ,$10.01 - $20,Seguro que sí,No ,Puede ser a cambio de un producto ,"Si, solo por el producto ",Lo tomas en consideración ,Muy importante ,Deporte,Maykel,Jasu Montero,Bad Bunny,Jon Z,Viajando por el mundo ,Muy de acuerdo ,Muy de acuerdo ,De acuerdo,Poco de acuerdo ,Muy de acuerdo ,Muy de acuerdo ,Muy de acuerdo 
Femenino,12,TEODORO WOLF,Otros,RR.SS.,Televisón,Actitud,Total acuerdo,Total acuerdo,9,Muy necesarias ,Facebook,Popularidad,Celular ,Redes Sociales,Youtube ,Youtube ,Facebook,Facebook,7,Otra palabra,Solo estudiar ,Apenas esté graduado/a del colegio,Un emprendedor ,De 6 meses a un año ,El total del salario basico ,1,4,3,2,5,No es importante porque hay que hacer compras necesarias en el presente,A logros personales ,$20.01 - $30,Probablemente si ,Si ,Tal vez por algo extra (Dinero),Por el producto y mostrar la imagen personal,Poco creíble,Importante ,Viajes,Maykel,Maximo Escalera ,Paulo Londra,Sebastian Yatra,Trabajando para ser un buen profesional ,No estoy de acuerdo ,De acuerdo,No estoy de acuerdo ,No estoy de acuerdo ,De acuerdo,Muy de acuerdo ,Imparcial
Masculino,13,TEODORO WOLF,Otros,internet,Computadora,Conocimientos,Indiferente,Indiferente,10,Muy necesarias ,Twitter,Privacidad,Celular ,Buscador,Youtube ,Spotify,Google,Youtube ,9,Aspiración,Ambas,De 6 meses a un año de haberme graduado ,Un emprendedor ,De 6 meses a un año ,De $386 a $450,5,3,4,1,3,Es importante pero hay que pensar también en el presente,Al factor económico ,$5.01 - $10 ,Seguro que sí,Si ,Tal vez por algo extra (Dinero),No lo haría,Lo tomas en consideración ,Importante ,Ninguna ,Gabriela Pazmiño,Alfonso Espinoza De Los Monteros ,Luisito Comunica,Anuel ,Viajando por el mundo ,Muy de acuerdo ,Muy de acuerdo ,Imparcial,Muy de acuerdo ,Imparcial,Imparcial,Imparcial
Masculino,13,TEODORO WOLF,Otros,Lectura,Celular,Salud mental,Acuerdo,Acuerdo,5,Muy necesarias ,Instagram ,Distracción,Celular ,Redes Sociales,Youtube ,Play music,Google,Facebook,11,Desarrollo de conocimiento ,Solo estudiar ,De 6 meses a un año de haberme graduado ,Un emprendedor ,De 6 meses a un año ,Más de $550,1,3,2,1,3,Es importante pero hay que pensar también en el presente,A logros personales ,$20.01 - $30,Seguro que sí,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Poco creíble,Importante ,Deporte,Jasu Montero,Dayanara Peralta ,Paulo Londra,Jon Z,Viajando por el mundo ,No estoy de acuerdo ,No estoy de acuerdo ,Imparcial,No estoy de acuerdo ,Imparcial,De acuerdo,Muy de acuerdo 
Femenino,13,TEODORO WOLF,Otros,internet,Computadora,Salud mental,Acuerdo,Total acuerdo,7,Necesarias,Facebook,Distracción,PC/ computadora de escritorio ,Enciclopedias Virtuales,Youtube ,Youtube ,Google,Facebook,11,Desarrollo de conocimiento ,Ambas,De 6 meses a un año de haberme graduado ,Un emprendedor ,Más de 2 años,De $386 a $450,5,4,1,2,3,Es muy importante ahorrar,A logros académicos ,$5.01 - $10 ,Seguro que sí,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Poco creíble,Muy importante ,Viajes,Paola Farias ,Sofia Caiche,Selena Gomez,Maluma,Con una familia establecida,Imparcial,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo ,Muy de acuerdo 
Masculino,13,TEODORO WOLF,Otros,Otros,Televisón,Salud mental,Acuerdo,Acuerdo,1,Muy necesarias ,Facebook,Privacidad,Celular ,Buscador,Youtube ,Play music,Google,Facebook,11,Dinero,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,De un año a año y medio ,El total del salario basico ,1,2,3,4,5,Es muy importante ahorrar,Al reconocimiento social ,$20.01 - $30,Probablemente si ,Si ,No estaría dispuesto,Por el producto y mostrar la imagen personal,Lo tomas en consideración ,Muy importante ,Deporte,Maykel,Jasu Montero,Anuel ,Jon Z,Trabajando para ser un buen profesional ,No estoy de acuerdo ,Poco de acuerdo ,No estoy de acuerdo ,Muy de acuerdo ,Muy de acuerdo ,Poco de acuerdo ,Poco de acuerdo 
Masculino,13,TEODORO WOLF,Otros,Lectura,Celular,Salud mental,Acuerdo,Acuerdo,1,Muy necesarias ,Facebook,Popularidad,Celular ,Buscador,Youtube ,Play music,Google,Facebook,7,Dinero,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,De 6 meses a un año ,El total del salario basico ,1,2,3,4,5,Es muy importante ahorrar,Al reconocimiento social ,$20.01 - $30,Probablemente si ,Si ,No estaría dispuesto,Por el producto y mostrar la imagen personal,Lo tomas en consideración ,Muy importante ,Deporte,Maykel,Jasu Montero,Bad Bunny,Jon Z,Trabajando para ser un buen profesional ,No estoy de acuerdo ,Poco de acuerdo ,No estoy de acuerdo ,Muy de acuerdo ,Muy de acuerdo ,Poco de acuerdo ,Poco de acuerdo 
Masculino,16,TEODORO WOLF,Otros,Lectura,Televisón,Conocimientos,Acuerdo,Total acuerdo,9,Necesarias,Facebook,Distracción,Celular ,Enciclopedias Virtuales,,,,,17,Desarrollo de conocimiento ,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,De un año a año y medio ,De $451 a $550,1,,,,,Es muy importante ahorrar,A logros académicos ,$1 - $5,Seguro que sí,Si ,Tal vez por algo extra (Dinero),Por el producto y mostrar la imagen personal,Lo tomas en consideración ,Muy importante ,Tecnología,,,,,Viajando por el mundo ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,Poco de acuerdo ,Imparcial,De acuerdo,Muy de acuerdo 
Femenino,16,TEODORO WOLF,Otros,internet,Celular,Conocimientos,Acuerdo,Indiferente,7,Poco necesarias,Instagram ,Distracción,Celular ,Enciclopedias Virtuales,Youtube ,Youtube ,Google,Youtube ,7,Obligación ,Solo estudiar ,de 1 a 2 años despues de haberme graduado,Un emprendedor ,De un año a año y medio ,Más de $550,1,4,2,3,5,Es muy importante ahorrar,Al factor económico ,$10.01 - $20,Seguro que sí,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Es verdad,Muy importante ,Moda,Maykel,Gabriela Pazmiño,Yuya ,Kim Laiza ,Ninguna,No estoy de acuerdo ,Poco de acuerdo ,Imparcial,De acuerdo,De acuerdo,De acuerdo,Poco de acuerdo 
Femenino,18,TEODORO WOLF,Otros,RR.SS.,Televisón,Salud mental,Desacuerdo,Indiferente,8,Poco necesarias,Instagram ,Popularidad,Celular ,Bibliotecas virtuales / repositorios,Youtube ,Youtube ,Google,Netflix ,8,Desarrollo de conocimiento ,Ambas,De 6 meses a un año de haberme graduado ,Un emprendedor ,De un año a año y medio ,Más de $550,4,5,3,2,1,Es importante pero hay que pensar también en el presente,A logros personales ,$1 - $5,Seguro que sí,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,,Poco importante ,Académico,Dayanara Peralta ,Flor Maria Palomeque,Yuya ,Kim Laiza ,Viajando por el mundo ,No estoy de acuerdo ,Muy de acuerdo ,Imparcial,No estoy de acuerdo ,De acuerdo,No estoy de acuerdo ,Poco de acuerdo 
Femenino,16,TEODORO WOLF,Otros,internet,Celular,Actitud,Acuerdo,Total desacuerdo,8,Muy necesarias ,Instagram ,Popularidad,Celular ,Buscador,Youtube ,Youtube ,Google,Netflix ,6,Libertad,Solo trabajar ,De 6 meses a un año de haberme graduado ,Un emprendedor ,De 6 meses a un año ,Más de $550,4,5,3,2,1,Es importante pero hay que pensar también en el presente,Al factor económico ,$5.01 - $10 ,Probablemente si ,Si ,Tal vez por algo extra (Dinero),Por el producto y mostrar la imagen personal,Lo tomas en consideración ,Importante ,Moda,,,La divaza ,Pau tips,Trabajando para ser un buen profesional ,De acuerdo,Muy de acuerdo ,Imparcial,Imparcial,De acuerdo,Imparcial,Imparcial
Femenino,15,TEODORO WOLF,Otros,Ejercicios,Celular,Actitud,Acuerdo,Acuerdo,7,Necesarias,Instagram ,Popularidad,Celular ,Buscador,Youtube ,Spotify,Facebook,Facebook,10,Otra palabra,Ambas,De 6 meses a un año de haberme graduado ,Un empleado en una empresa local,De 6 meses a un año ,El total del salario basico ,2,5,4,3,1,Es muy importante ahorrar,A logros personales ,$10.01 - $20,Probablemente si ,Si ,Puede ser a cambio de un producto ,Por el producto y algo de dinero ,Lo tomas en consideración ,Importante ,Moda,Alfonso Espinoza De Los Monteros ,Mirella Cesa,Ariatna Gutierrez,Pau tips,Viajando por el mundo ,Poco de acuerdo ,De acuerdo,Poco de acuerdo ,Poco de acuerdo ,De acuerdo,Poco de acuerdo ,Imparcial
Masculino,16,TEODORO WOLF,Otros,RR.SS.,Televisón,Apariencia física,Desacuerdo,Desacuerdo ,8,Necesarias,Instagram ,Facilidad de uso,Celular ,Buscador,Youtube ,Youtube ,Google,Youtube ,10,Desarrollo de conocimiento ,Ambas,Apenas esté graduado/a del colegio,Un emprendedor ,De 6 meses a un año ,Más de $550,,,,,,Es muy importante ahorrar,Al factor económico ,$20.01 - $30,Probablemente si ,Si ,No estaría dispuesto,No lo haría,Poco creíble,Poco importante ,Deporte,Felipe Crespo,Logan y Logan,Cristiano Ronaldo ,Leonel Messi,Haciendo estudios de posgrado,Imparcial,Imparcial,Muy de acuerdo ,De acuerdo,De acuerdo,Imparcial,Imparcial
Femenino,16,TEODORO WOLF,Otros,RR.SS.,Celular,Actitud,Acuerdo,Acuerdo,8,Necesarias,Facebook,Distracción,PC/ computadora de escritorio ,Buscador,Youtube ,Youtube ,Google,Netflix ,10,Otra palabra,Solo trabajar ,De 6 meses a un año de haberme graduado ,Un emprendedor ,De 6 meses a un año ,El total del salario basico ,4,5,3,1,2,Es importante pero hay que pensar también en el presente,A logros académicos ,$20.01 - $30,Seguro que sí,Si ,Tal vez por algo extra (Dinero),Por el producto y algo de dinero ,Lo tomas en consideración ,Importante ,Tecnología,Felipe Crespo,Alex Vizuete,Luisito Comunica,La divaza ,Trabajando para ser un buen profesional ,No estoy de acuerdo ,No estoy de acuerdo ,No estoy de acuerdo ,De acuerdo,De acuerdo,Muy de acuerdo ,Muy de acuerdo 
